Ticker	Market Cap	PE Ratio	Beta	EPS	Industry	Sector
MMM	70749102080	13.519251	1.001	9.61	Conglomerates	Industrials
AOS	10510688256	19.126648	1.169	3.79	Specialty Industrial Machinery	Industrials
ABT	1.96653E+11	34.462006	0.722	3.29	Medical Devices	Healthcare
ABBV	3.06369E+11	60.197914	0.613	2.88	Drug Manufacturers - General	Healthcare
ACN	2.24123E+11	31.353148	1.245	11.44	Information Technology Services	Technology
ADBE	2.04997E+11	37.73825	1.299	12.34	Software - Infrastructure	Technology
AMD	2.05951E+11	112.30974	1.706	1.13	Semiconductors	Technology
AES	9492210688	9.270833	1.09	1.44	Utilities - Diversified	Utilities
AFL	58063785984	15.53046	0.958	6.73	Insurance - Life	Financial Services
A	39641825280	31.376976	1.072	4.43	Diagnostics & Research	Healthcare
APD	69448957952	18.11485	0.826	17.24	Specialty Chemicals	Basic Materials
ABNB	81813889024	45.468746	1.156	2.88	Travel Services	Consumer Cyclical
AKAM	14908527616	29.360945	0.678	3.38	Software - Infrastructure	Technology
ALB	11681125376		1.551	-16.76	Specialty Chemicals	Basic Materials
ARE	17941067776	62.597565	1.176	1.64	REIT - Office	Real Estate
ALGN	17572593664	40.16894	1.65	5.86	Medical Instruments & Supplies	Healthcare
ALLE	12068393984	21.358461	1.123	6.5	Security & Protection Services	Industrials
LNT	15511410688	23.521402	0.574	2.57	Utilities - Regulated Electric	Utilities
ALL	51970236416	12.686489	0.481	15.47	Insurance - Property & Casualty	Financial Services
GOOGL	2.33222E+12	25.175068	1.034	7.54	Internet Content & Information	Communication Services
GOOG	2.33221E+12	25.381964	1.034	7.54	Internet Content & Information	Communication Services
MO	93078962176	9.277026	0.67	5.92	Tobacco	Consumer Defensive
AMZN	2.39174E+12	48.498936	1.146	4.69	Internet Retail	Consumer Cyclical
AMCR	14308866048	18.679245	0.863	0.53	Packaging & Containers	Consumer Cyclical
AMTM	5608111104	13.720238		1.68	Specialty Business Services	Industrials
AEE	23980810240	21.138823	0.462	4.25	Utilities - Regulated Electric	Utilities
AEP	49374101504	18.691532	0.539	4.96	Utilities - Regulated Electric	Utilities
AXP	2.12841E+11	22.216177	1.214	13.6	Credit Services	Financial Services
AIG	45454049280	14.487078	1.069	5.03	Insurance - Diversified	Financial Services
AMT	92130697216	47.62319	0.842	4.14	REIT - Specialty	Real Estate
AWK	25256312832	25.712301	0.698	5.04	Utilities - Regulated Water	Utilities
AMP	53334749184	21.007261	1.334	26.17	Asset Management	Financial Services
AME	43342495744	32.701572	1.163	5.73	Specialty Industrial Machinery	Industrials
AMGN	1.45467E+11	34.606136	0.599	7.82	Drug Manufacturers - General	Healthcare
APH	88769060864	42.074284	1.238	1.75	Electronic Components	Technology
ADI	1.07503E+11	66.24159	1.078	3.27	Semiconductors	Technology
ANSS	29753987072	52.344612	1.111	6.5	Software - Application	Technology
AON	78113120256	30.9503	0.909	11.67	Insurance Brokers	Financial Services
APA	8456988672	3.2471592	3.246	7.04	Oil & Gas E&P	Energy
AAPL	3.75068E+12	40.810856	1.24	6.08	Consumer Electronics	Technology
AMAT	1.39613E+11	19.69186	1.551	8.6	Semiconductor Equipment & Materials	Technology
APTV	13625036800	6.455457	1.817	8.98	Auto Parts	Consumer Cyclical
ACGL	35148525568	6.2697988	0.613	14.9	Insurance - Diversified	Financial Services
ADM	25075183616	14.719102	0.722	3.56	Farm Products	Consumer Defensive
ANET	1.41559E+11	54.02404	1.077	2.08	Computer Hardware	Technology
AJG	71091437568	54.31107	0.727	5.24	Insurance Brokers	Financial Services
AIZ	11171934208	15.54818	0.568	14.01	Insurance - Property & Casualty	Financial Services
T	1.69552E+11	19.211382	0.73	1.23	Telecom Services	Communication Services
ATO	21846132736	20.582724	0.672	6.83	Utilities - Regulated Gas	Utilities
ADSK	65465163776	60.271824	1.474	5.04	Software - Application	Technology
ADP	1.20917E+11	31.739037	0.795	9.35	Software - Application	Technology
AZO	56654237696	22.52252	0.713	149.64	Specialty Retail	Consumer Cyclical
AVB	32205299712	30.974009	0.985	7.31	REIT - Residential	Real Estate
AVY	15678796800	23.42617	0.896	8.33	Packaging & Containers	Consumer Cyclical
AXON	49177481216	166.6434	0.943	3.87	Aerospace & Defense	Industrials
BKR	41708523520	18.901346	1.363	2.23	Oil & Gas Equipment & Services	Energy
BALL	17380329472	24.266666	0.899	2.4	Packaging & Containers	Consumer Cyclical
BAC	3.5042E+11	16.5471	1.325	2.76	Banks - Diversified	Financial Services
BAX	15481027584	121.28	0.604	0.25	Medical Instruments & Supplies	Healthcare
BDX	65214353408	38.491467	0.45	5.86	Medical Instruments & Supplies	Healthcare
BRK.B						
BBY	18728529920	14.999999	1.493	5.84	Specialty Retail	Consumer Cyclical
TECH	12026535936	79.67369	1.278	0.95	Biotechnology	Healthcare
BIIB	21862221824	13.565099	-0.061	11.06	Drug Manufacturers - General	Healthcare
BLK	1.63636E+11	26.042397	1.311	40.57	Asset Management	Financial Services
BX	2.28531E+11	64.97241	1.486	2.9	Asset Management	Financial Services
BK	57315561472	17.635347	1.06	4.47	Banks - Diversified	Financial Services
BA	1.26928E+11		1.572	-12.94	Aerospace & Defense	Industrials
BKNG	1.73017E+11	35.336014	1.385	147.94	Travel Services	Consumer Cyclical
BWA	7446734848	8.428218	1.186	4.04	Auto Parts	Consumer Cyclical
BSX	1.32807E+11	74.47107	0.797	1.21	Medical Devices	Healthcare
BMY	1.13132E+11		0.441	-3.58	Drug Manufacturers - General	Healthcare
AVGO	1.04995E+12	175.625	1.187	1.28	Semiconductors	Technology
BR	27297087488	40.333332	1.06	5.79	Information Technology Services	Technology
BRO	29793966080	28.389647	0.825	3.67	Insurance Brokers	Financial Services
BF.B						
BLDR	19153596416	16.25293	2.081	10.24	Building Products & Equipment	Industrials
BG	11540172800	10.475286	0.655	7.89	Farm Products	Consumer Defensive
BXP	14097573888	34.752174	1.195	2.3	REIT - Office	Real Estate
CHRW	13165672448	38.673607	0.842	2.88	Integrated Freight & Logistics	Industrials
CDNS	84130177024	80.72369	1.02	3.8	Software - Application	Technology
CZR	7863884288		2.962	-1.68	Resorts & Casinos	Consumer Cyclical
CPT	12819855360	37.908516	0.92	3.17	REIT - Residential	Real Estate
CPB	12815706112	23.491804	0.181	1.83	Packaged Foods	Consumer Defensive
COF	70400040960	17.424929	1.432	10.59	Credit Services	Financial Services
